13616,860,Massachusetts Ave,860 Massachusetts Ave,POINT (-71.10732404369907 42.36748179621061)
13617,862,Massachusetts Ave,862 Massachusetts Ave,POINT (-71.10736132155148 42.36750695412725)
13618,864,Massachusetts Ave,864 Massachusetts Ave,POINT (-71.10739085605056 42.36752294589506)
13619,507,Green St,507 Green St,POINT (-71.10877248154672 42.36753800053174)
13621,884,Massachusetts Ave,884 Massachusetts Ave,POINT (-71.10799903915432 42.367805710551636)
13622,896,Massachusetts Ave,896 Massachusetts Ave,POINT (-71.10826362833544 42.3680138614468)
13623,896-A,Massachusetts Ave,896-A Massachusetts Ave,POINT (-71.10833857917085 42.368048235726995)
13625,906,Massachusetts Ave,906 Massachusetts Ave,POINT (-71.10866083733957 42.36820870572876)
13626,904,Massachusetts Ave,904 Massachusetts Ave,POINT (-71.10861207524918 42.36818385667425)
13627,900,Massachusetts Ave,900 Massachusetts Ave,POINT (-71.10856510861123 42.368100380776866)
