1791,123,Inman St,123 Inman St,-71.10098461842075000000,42.37308942632577000000
1821,125,Antrim St,125 Antrim St,-71.10191338335630000000,42.373199653021530000000
1933,12,Antrim St,12 Antrim St,-71.10341992609801000000,42.3706999751397000000
1935,12,Arnold Cir,12 Arnold Cir,-71.10779476509725000000,42.368466011472684000000
1941,12,Bigelow St,12 Bigelow St,-71.10533493617352000000,42.36789084052949000000
1952,12,Clinton St,12 Clinton St,-71.10600983657301000000,42.368286004053004000000
1968,12,Fainwood Cir,12 Fainwood Cir,-71.10332472900927000000,42.37345716297402000000
1973,12,Fayette St,12 Fayette St,-71.10390196883561000000,42.371588638042866000000
2009,12,Lee St,12 Lee St,-71.10717439488160000000,42.36820295105250000000
2174,135,Inman St,135 Inman St,-71.10087220748439000000,42.373211680433805000000
2265,13,Bigelow St,13 Bigelow St,-71.10563595152937000000,42.36785608929626000000
2271,13,Clinton St,13 Clinton St,-71.10618737604243000000,42.36846803410555000000
2609,14,Lee St,14 Lee St,-71.10706027520303000000,42.368270191652115000000
2398,1426,Cambridge St,1426 Cambridge St,-71.10200982179492000000,42.37376515613083000000
2413,1431-A,Cambridge St,1431-A Cambridge St,-71.10225294285165000000,42.37418212594221000000
2542,14,Bigelow St,14 Bigelow St,-71.10521900860084000000,42.36798997655358000000
2872,15,Bigelow St,15 Bigelow St,-71.10551450023284000000,42.36800004363546000000
3557,17,Inman St,17 Inman St,-71.10480979466475000000,42.367602974186454000000
3189,16,Antrim St,16 Antrim St,-71.10325969121071000000,42.37072320183898000000
3197,16,Bigelow St,16 Bigelow St,-71.10513524593104000000,42.368079403461294000000
3220,16,Clinton St,16 Clinton St,-71.10586609378589000000,42.36844944290972000000
3228,16,Fainwood Cir,16 Fainwood Cir,-71.10331342125818000000,42.373267105268674000000
3234,16,Fayette St,16 Fayette St,-71.10365047229276000000,42.37183963205204000000
3265,16,Lee St,16 Lee St,-71.10693316678423000000,42.36844182184259000000
3503,17-A,Bigelow St,17-A Bigelow St,-71.10538086909527000000,42.36815291840753000000
3518,17-1/2,Clinton St,17-1/2 Clinton St,-71.10605495211452000000,42.36871996685336000000
3519,17,Clinton St,17 Clinton St,-71.10592868722287000000,42.36869034436573000000
3532,17,Fayette St,17 Fayette St,-71.10404804039293000000,42.37189142802442000000
3752,18,Bigelow St,18 Bigelow St,-71.10504974899531000000,42.36817024680448000000
3768,18,Clinton St,18 Clinton St,-71.10569365972916000000,42.36862936740319000000
3782,18,Fainwood Cir,18 Fainwood Cir,-71.10339339019230000000,42.373167293593060000000
3784,18,Fayette St,18 Fayette St,-71.10352642427736000000,42.371980042536336000000
4018,19,Bigelow St,19 Bigelow St,-71.10523080322635000000,42.368283890272025000000
4034,19,Clinton St,19 Clinton St,-71.10583243299807000000,42.36876068161755000000
4078,19,Inman St,19 Inman St,-71.10467958870186000000,42.36772108186657000000
4155,1,Corliss Pl,1 Corliss Pl,-71.10361395132557000000,42.37119372051743000000
4410,20,Fainwood Cir,20 Fainwood Cir,-71.10348387278279000000,42.37306739926371000000
4415,20,Fayette St,20 Fayette St,-71.10346562012803000000,42.37207147571377000000
4453,20,Maple Ave,20 Maple Ave,-71.10463496066107000000,42.37232161896349000000
4647,21,Clinton St,21 Clinton St,-71.10575835229650000000,42.3688645449184660000000
4661,21,Fainwood Cir,21 Fainwood Cir,-71.10338703468081000000,42.37291801328031000000
4690,21-A,Lee St,21-A Lee St,-71.10727355488204000000,42.36890606376334000000
4872,20,Clinton St,20 Clinton St,-71.10557766952952000000,42.36874795964335000000
4888,22,Fayette St,22 Fayette St,-71.10339119235869000000,42.37216245405705000000
2635,14,Reservoir St,14 Reservoir St,-71.13678733299290000000,42.378399934046840000000
5263,24,Clary St,24 Clary St,-71.09863422198394000000,42.373947261957525000000
5720,26,Oak St,26 Oak St,-71.09954285238805000000,42.37434319884268000000
5201,243,Hampshire St,243 Hampshire St,-71.10110988201615000000,42.37410201015169000000
5393,251,Hampshire St,251 Hampshire St,-71.10128916893295000000,42.374269917297724000000
5530,25,Jay St,25 Jay St,-71.11031132345762000000,42.36528083173509000000
5722,26,Pleasant St,26 Pleasant St,-71.10724820431416000000,42.36473809853874000000
5743,22,Soden St,22 Soden St,-71.10840286814845000000,42.36608715387967000000
5991,28,Howard St,28 Howard St,-71.11069578376824000000,42.36491988804986000000
